Moose # MB,Capture Location UTM Easting,Capture Location UTM Northing,Capture Date,Sex,Pathogen_PC1,Pathogen_PC2,Pathogen_PC3,BodyCondition,Pregnant at Capture?
119,47.85878,-92.00555,42050,1,-0.23862879,0.17319346,-0.028405494,4,0
125,47.38613,-91.67916,42051,0,-0.23862879,0.17319346,-0.028405494,2,0
161,47.82188,-91.94788,42050,0,-0.167624174,-0.803618991,0.154501363,2,0
170,47.83923,-91.9721,42050,0,-0.23862879,0.17319346,-0.028405494,2,0
176,47.84418,-91.90919,42050,1,-0.23862879,0.17319346,-0.028405494,2,1
183,47.41725,-91.58336,42051,1,-0.23862879,0.17319346,-0.028405494,4,1
184,47.447,-91.5727,42051,1,-0.167624174,-0.803618991,0.154501363,4,1
185,47.53171,-91.55324,42051,0,-0.23862879,0.17319346,-0.028405494,2,0
186,47.55002,-91.53871,42051,0,-0.23862879,0.17319346,-0.028405494,2,0
187,47.44827,-91.55618,42051,1,0.869253847,0.199177637,-0.590858974,4,1
188,47.7494,-90.84078,42055,0,-0.23862879,0.17319346,-0.028405494,2,0
189,47.77516,-90.65609,42055,0,-0.23862879,0.17319346,-0.028405494,2,0
191,47.76327,-90.8307,42055,1,-0.23862879,0.17319346,-0.028405494,2,1
192,47.42184,-91.7018,42051,1,-0.23862879,0.17319346,-0.028405494,4,1
193,47.37482,-91.71418,42052,1,-0.23862879,0.17319346,-0.028405494,4,0
194,47.48043,-91.60607,42051,0,1.106027029,-0.629837509,0.682469452,2,0
196,47.33879,-91.53922,42052,1,-0.23862879,0.17319346,-0.028405494,4,1
197.4,47.53676,-91.26098,42055,1,1.404206711,0.328501136,0.002755581,2,0
198,47.32308,-91.71238,42056,1,-0.23862879,0.17319346,-0.028405494,2,1
200,47.33361,-91.71432,42052,1,-0.23862879,0.17319346,-0.028405494,2,1
201,47.31665,-91.61178,42052,1,1.035022413,0.346974942,0.499562596,3,1
202,47.3539,-91.58307,42052,0,-0.23862879,0.17319346,-0.028405494,1,0
203,47.84007,-90.37825,42052,1,-0.167624174,-0.803618991,0.154501363,4,1
204,47.69929,-90.82067,42055,0,-0.23862879,0.17319346,-0.028405494,2,0
205,47.6908,-91.14989,42056,0,1.035022413,0.346974942,0.499562596,2,0
206,47.84668,-90.38688,42056,0,-0.23862879,0.17319346,-0.028405494,4,0
210,47.56399,-91.12518,42055,1,-0.23862879,0.17319346,-0.028405494,4,1
212,47.64815,-91.20233,42056,1,1.404206711,0.328501136,0.002755581,4,1
213,47.65639,-91.20799,42056,1,-0.167624174,-0.803618991,0.154501363,4,0
214,47.58908,-91.13993,42056,1,0.637569661,0.108669646,-0.592912581,4,1
215,48.00132,-89.7441,42056,1,-0.23862879,0.17319346,-0.028405494,2,1
11.17.GP.2011.collared,48.00132,-89.74409633,40564,1,-0.23862879,0.17319346,-0.028405494,4,0
11.22.GP.2011.collared,47.96732,-89.83459151,40563,1,-0.167624174,-0.803618991,0.154501363,5,0
11.23.GP.2011.collared,47.966584,-89.80798577,40564,0,-0.23862879,0.17319346,-0.028405494,4,0
165.05.Voyageurs,47.79129,-90.54516,37679,0,-0.23862879,0.17319346,-0.028405494,4,0
92.alive.8124114,47.68964,-91.26592,41308,1,-0.167624174,-0.803618991,0.154501363,2,0
GP-01,47.93857,-89.845917,42057,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-02,47.97808,-89.80085,42059,0,1.035022413,0.346974942,0.499562596,2,0
GP-03,48.01208,-89.735367,42059,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-04,48.00673,-89.747967,42059,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-05,47.97918,-89.7654,42059,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-06,47.9602,-89.883767,42059,1,-0.167624174,-0.803618991,0.154501363,4,1
GP-07,47.96012,-89.8542,42059,1,1.16666985,-1.008756049,-1.244715467,4,1
GP-08,47.9176,-89.85215,42059,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-09,47.9119,-89.882967,42059,1,-0.23862879,0.17319346,-0.028405494,4,0
GP-10,47.96112,-89.9357,42060,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-12,47.97175,-89.8819,42060,1,-0.167624174,-0.803618991,0.154501363,4,1
GP-13,47.95378,-89.707417,42060,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-14,47.96178,-89.872833,42060,1,-0.23862879,0.17319346,-0.028405494,1,0
GP-15,47.96982,-89.909833,42059,1,-0.23862879,0.17319346,-0.028405494,4,1
GP-17,47.95933,-89.91785,42060,0,-0.23862879,0.17319346,-0.028405494,4,0
GP-212-313,47.95917,-89.884383,42061,1,-0.23862879,0.17319346,-0.028405494,4,0
